You have 1 point.

      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   00:11:14    417      0   00:11:29    362      0
 24   00:19:13   1000      0   00:42:06   1104      0
 23   00:26:33    823      0   00:48:53    224      0
 22   00:27:38   3132      0   00:34:57    616      0
 21   00:27:46    959      0   00:52:56   1636      0
 20   00:27:42    463      0   01:32:46    239      0
 19   00:30:39    600      0   00:35:21    180      0
 18   00:11:15    178      0   00:34:49    850      0
 17   00:16:19    339      0   00:27:07    650      0
 16   00:08:07    197      0   00:21:21    106      0
 15   00:05:47    100      1   00:23:15   1192      0
 14   00:14:11    753      0   00:29:00    585      0
 13   00:04:35    128      0   00:42:34    885      0
 12   00:06:11    192      0   00:46:20   2950      0
 11   00:14:42    537      0   00:24:26    514      0
 10   00:06:00    555      0   00:09:27    126      0
  9   00:05:51    663      0   00:08:41    273      0
  8   07:07:39  27029      0   07:17:31  22738      0
  7   00:16:29    708      0   00:24:02    596      0
  6   21:30:51  51068      0   21:33:06  49250      0
  5       >24h  57226      0       >24h  56117      0
  4   02:04:15  13560      0   02:24:07   9669      0
  3   10:09:42  40954      0   10:17:42  38543      0
  2   13:54:20  54639      0   13:58:07  51896      0
  1       >24h  87027      0       >24h  81408      0
