You have 135 points.

      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   00:16:00    535      0   00:16:22    457      0
 24   02:18:00    703      0   02:20:34    626      0
 23   01:19:22   1120      0   01:38:50    345      0
 22   00:09:22    438      0   00:40:39     83     18
 21   00:09:59    669      0   00:28:34    324      0
 20   00:14:40     71     30   00:19:43    114      0
 19   00:46:18     62     39   01:16:03    187      0
 18   01:01:38    506      0   01:04:03    447      0
 17   00:11:06    257      0   00:13:45    142      0
 16   00:30:54    371      0   00:35:40    285      0
 15   00:05:49    121      0   00:12:08     53     48
 14   00:07:15    359      0   00:22:06    493      0
 13   00:21:18   1985      0   00:25:32   1537      0
 12   00:11:04    439      0   00:14:41    166      0
 11   00:11:52    350      0   00:14:10    355      0
 10   00:12:46   2438      0   00:18:37   1521      0
  9   00:04:05    153      0   00:32:45   2174      0
  8   00:09:59   1890      0   00:47:55   1303      0
  7   00:02:31    263      0   00:05:37    447      0
  6   00:08:54   2494      0   00:09:44    441      0
  5   00:07:40    334      0   00:16:32    613      0
  4   00:13:03    402      0   00:16:06    312      0
  3   00:05:38    756      0   00:17:55    677      0
  2   00:02:40    691      0   00:04:26    595      0
  1   03:14:04  21096      0   03:16:22  18044      0
